Ticker,Ratio
AABA,3.0
AAL,2.0
AAP,14.0
AAPL,20.0
ABBV,10.0
ABEV,0.333333
ABEV3,1.0
ABNB,15.0
ABT,4.0
ACN,75.0
ACWI,26.0
ADBE,44.0
ADGO,1.0
ADI,15.0
ADP,6.0
AEG,1.0
AEM,6.0
AI,5.0
AIG,5.0
AKO.B,1.0
ALAB,44.0
AMAT,5.0
AMD,10.0
AMGN,30.0
AMX,1.0
AMZN,144.0
ANET,29.0
ANF,1.0
AOCA,1.0
ARCO,0.5
ARM,27.0
ASML,146.0
ASR,20.0
ASTS,15.0
AUY,1.0
AVGO,39.0
AVY,18.0
AXP,15.0
AZN,4.0
BA,24.0
BA.C,4.0
BABA,9.0
BAK,2.0
BAS,2.0
BAYN,3.0
BB,3.0
BBAS3,2.0
BBD,1.0
BBDC3,1.0
BBV,1.0
BCS,1.0
BHP,2.0
BIDU,11.0
BIIB,13.0
BK,2.0
BKNG,700.0
BKR,7.0
BMNR,8.0
BMY,3.0
BNG,5.0
BP,5.0
BPA11,1.0
BRFS,0.333333
BRKB,22.0
BSBR,1.0
BSN,20.0
BX,30.0
CAAP,0.25
CAH,3.0
CAJ,2.0
CAR,26.0
CAT,20.0
CBRD,1.0
CCJ,23.0
CCL,3.0
CDE,1.0
CEG,45.0
CL,3.0
CLS,20.0
COIN,27.0
COP,25.0
COPX,14.0
COST,48.0
CRM,18.0
CRWD,79.0
CRWV,27.0
CS,1.0
CSCO,5.0
CSNA3,1.0
CVS,15.0
CVX,16.0
CX,1.0
DAL,8.0
DD,5.0
DE,40.0
DECK,25.0
DEO,6.0
DHR,54.0
DISN,12.0
DOCU,22.0
DOW,6.0
EA,14.0
EBAY,2.0
EBR,0.25
ECL,56.0
EFA,18.0
EFX,16.0
ELP,0.333333
EOAN,6.0
EQNR,6.0
ERIC,2.0
ERJ,1.0
ESGU,30.0
ETHA,5.0
ETSY,16.0
FCX,3.0
FDX,10.0
FISV,11.0
FMX,6.0
FSLR,18.0
FXI,5.0
GDX,10.0
GE,8.0
GFI,1.0
GGB,0.25
GILD,4.0
GLD,50.0
GLNG,10.0
GLOB,18.0
GLW,4.0
GM,6.0
GOOGL,58.0
GPRK,1.0
GRMN,3.0
GS,13.0
GSK,4.0
GT,2.0
HAL,2.0
HAPV3,1.0
HD,32.0
HDB,2.0
HIMS,4.0
HL,1.0
HMC,1.0
HMY,1.0
HNPIY,1.0
HOG,3.0
HON,8.0
HOOD,29.0
HPQ,1.0
HSBC,2.0
HSY,21.0
HUT,5.0
HWM,1.0
IBB,27.0
IBIT,10.0
IBM,15.0
IBN,1.0
IEMG,12.0
IFF,12.0
ILF,6.0
INFY,1.0
ING,3.0
INTC,5.0
IP,4.0
IREN,12.0
ISRG,90.0
ITUB,1.0
ITUB3,1.0
IVV,692.0
JCI,2.0
JD,4.0
JMIA,1.0
JNJ,15.0
JOYY,5.0
JPM,15.0
KB,2.0
KEP,1.0
KGC,1.0
KMB,6.0
KO,5.0
KOFM,2.0
LAC,1.0
LAR,1.0
LFC,2.0
LLY,56.0
LMT,20.0
LND,1.0
LRCX,56.0
LREN3,1.0
LVS,2.0
LYG,2.0
MA,33.0
MBG,4.0
MBT,2.0
MCD,24.0
MDLZ,15.0
MDT,4.0
MELI,120.0
META,24.0
MFG,1.0
MGLU3,1.0
MMC,16.0
MMM,10.0
MO,4.0
MOS,5.0
MP,10.0
MRK,5.0
MRNA,19.0
MRVL,14.0
MSFT,30.0
MSI,20.0
MSTR,20.0
MU,5.0
MUFG,1.0
MUX,2.0
NATU3,1.0
NBIS,27.0
NEC1,0.333333
NEE,19.0
NEM,3.0
NFLX,48.0
NG,0.25
NGG,2.0
NIO,4.0
NKE,12.0
NMR,1.0
NOKA,1.0
NOW,172.0
NTES,14.0
NUE,16.0
NVDA,24.0
NVO,7.0
NVS,4.0
NXE,1.0
OKLO,28.0
ORAN,1.0
ORCL,3.0
ORLY,222.0
OXY,5.0
PAAS,3.0
PAC,16.0
PAGS,3.0
PANW,50.0
PATH,2.0
PBI,1.0
PBR,1.0
PCAR,3.0
PDD,25.0
PEP,18.0
PETR3,1.0
PFE,4.0
PG,15.0
PHG,5.0
PINS,7.0
PKS,3.0
PLTR,3.0
PM,18.0
PRIO3,2.0
PSO,1.0
PSX,6.0
PTR,4.0
PYPL,8.0
QCOM,11.0
QQQ,20.0
RACE,83.0
RBLX,2.0
RENT3,2.0
RIO,8.0
RIOT,3.0
RKLB,12.0
ROKU,13.0
ROST,4.0
RTX,5.0
SAN,0.25
SAP,6.0
SATL,1.0
SBS,0.5
SBSP3,1.0
SBUX,12.0
SCCO,2.0
SCHW,13.0
SDA,2.0
SE,32.0
SH,8.0
SHEL,2.0
SHOP,107.0
SHPW,0.5
SI,10.0
SID,0.125
SLB,3.0
SMH,50.0
SNA,6.0
SNAP,1.0
SNDK,170.0
SNOW,30.0
SNP,3.0
SONY,8.0
SPCE,0.5
SPCX,50.0
SPGI,45.0
SPOT,28.0
STLA,5.0
STNE,3.0
SUZ,1.0
SUZB3,1.0
SWKS,21.0
SYY,8.0
TCOM,2.0
TEAM,47.0
TEFO,8.0
TEM,12.0
TEN,1.0
TGT,24.0
TIIAY,1.0
TIMB,1.0
TIMS3,1.0
TJX,22.0
TM,15.0
TMO,22.0
TMUS,33.0
TQQQ,25.0
TRIP,2.0
TRVV,6.0
TSLA,15.0
TSM,9.0
TTE,3.0
TTM,1.0
TV,3.0
TWLO,36.0
TWTR,2.0
TXN,5.0
TXR,4.0
UAL,5.0
UBER,2.0
UGP,1.0
UL,3.0
UN,2.0
UNH,33.0
UNP,20.0
UPST,5.0
URBN,2.0
USB,5.0
USO,15.0
VALE,2.0
VALE3,1.0
VIST,3.0
VIV,1.0
VIVT3,1.0
VOD,1.0
VRTX,101.0
VST,26.0
VZ,4.0
WBA,3.0
WBO,6.0
WEGE3,1.0
WFC,5.0
WMT,18.0
XLU,10.0
XOM,10.0
XP,4.0
XROX,1.0
XYZ,20.0
YELP,2.0
ZM,47.0
